record_id,learner,val_log_loss,val_f1,val_accuracy,val_precision,val_recall,val_auc,pred_time,config
52,lgbm,0.0033673029934960723,0.9991144521333729,0.9991144438493126,0.9991160275943575,0.9991144438493126,0.9999724798950014,1.747220227854994e-05,"{'n_estimators': 797, 'num_leaves': 21, 'min_child_samples': 2, 'learning_rate': 0.06975006104246864, 'log_max_bin': 8, 'colsample_bytree': 0.5680522969353233, 'reg_alpha': 0.004577823970660193, 'reg_lambda': 0.022292694161977773}"
53,lgbm,0.0039507743922036435,0.999043035504119,0.9990430280307088,0.9990441033211592,0.9990430280307088,0.9999366975762272,3.6290874866008164e-06,"{'n_estimators': 200, 'num_leaves': 98, 'min_child_samples': 7, 'learning_rate': 0.04570319933484961, 'log_max_bin': 6, 'colsample_bytree': 0.46767627207734824, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.004848542377812903}"
54,lgbm,0.013384028280000914,0.9976361622111775,0.9976361364042136,0.997638387211515,0.9976361364042136,0.999895975761891,8.742997016763713e-06,"{'n_estimators': 563, 'num_leaves': 16, 'min_child_samples': 3, 'learning_rate': 0.022896122359264102, 'log_max_bin': 7, 'colsample_bytree': 0.7254814150295334, 'reg_alpha': 0.001346442339014509, 'reg_lambda': 0.01848657561493706}"
55,lgbm,0.0034480260716302233,0.9992929881523257,0.9992929833958222,0.9992937645143736,0.9992929833958222,0.9999576373321255,6.035232816375041e-06,"{'n_estimators': 283, 'num_leaves': 128, 'min_child_samples': 3, 'learning_rate': 0.1392288568964623, 'log_max_bin': 7, 'colsample_bytree': 0.3102471539831382, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.005846787128744263}"
56,extra_tree,0.1924385404316817,0.9303902158155293,0.9307123727905731,0.9374727544724613,0.9307123727905731,0.9809992371777592,2.6445094229301966e-07,"{'n_estimators': 13, 'max_features': 0.14131655874395124, 'max_leaves': 8, 'criterion': 'entropy'}"
57,lgbm,0.0007324772574801317,0.9998071777082953,0.9998071772897696,0.9998072524827731,0.9998071772897696,0.9999942198781537,9.076704703959115e-06,"{'n_estimators': 399, 'num_leaves': 45, 'min_child_samples': 3, 'learning_rate': 0.056460614090194566, 'log_max_bin': 7, 'colsample_bytree': 0.5178642845063358, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.01039649327225154}"
58,rf,0.13361665810191597,0.9464348625018765,0.9464809855382967,0.9474980746693211,0.9464809855382967,0.9887021013862002,1.8528797140804236e-07,"{'n_estimators': 4, 'max_features': 0.1516512623919594, 'max_leaves': 13, 'criterion': 'entropy'}"
59,catboost,0.00963991658476589,0.9982646192641299,0.9982645956079271,0.9982682805728097,0.9982645956079271,0.9999235083130555,1.707419266212925e-07,"{'early_stopping_rounds': 10, 'learning_rate': 0.09999999999999996, 'n_estimators': 290}"
60,lgbm,0.0008695697499950012,0.9998357439216861,0.9998357436172112,0.9998357981842853,0.9998357436172112,0.999992548215254,7.843391487926611e-06,"{'n_estimators': 250, 'num_leaves': 259, 'min_child_samples': 2, 'learning_rate': 0.034974587070841584, 'log_max_bin': 8, 'colsample_bytree': 0.4624709279299011, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.017581717901781625}"
61,catboost,0.019666640927160597,0.996886305749824,0.9968862703088734,0.9968887529989436,0.9968862703088734,0.999860631099277,3.4656977572625843e-07,"{'early_stopping_rounds': 11, 'learning_rate': 0.005, 'n_estimators': 2725}"
62,lgbm,0.00428196039728903,0.9993572619097776,0.9993572576325657,0.9993580202051444,0.9993572576325657,0.9999659601444462,7.849100593412972e-06,"{'n_estimators': 636, 'num_leaves': 8, 'min_child_samples': 6, 'learning_rate': 0.09114620672961572, 'log_max_bin': 6, 'colsample_bytree': 0.5732576410827706, 'reg_alpha': 0.0022190759769264894, 'reg_lambda': 0.0061476968839898555}"
63,xgboost,0.11780922229227846,0.9534169166956903,0.9534368862703089,0.9538710618200716,0.9534368862703089,0.9919611818944718,1.1866357875198067e-07,"{'n_estimators': 38, 'max_leaves': 4, 'min_child_weight': 128.0, 'learning_rate': 0.21976819009712747, 'subsample': 0.9827721799620315, 'colsample_bylevel': 0.9179692403864321, 'colsample_bytree': 0.8359678015617814, 'reg_alpha': 0.010148944212063488, 'reg_lambda': 9.585429054197736}"
64,extra_tree,0.07456733616013339,0.981053828122108,0.9810605249062667,0.9814282334674556,0.9810605249062667,0.9965323221089908,2.6240090859019316e-07,"{'n_estimators': 9, 'max_features': 0.11798219428455964, 'max_leaves': 253, 'criterion': 'gini'}"
65,rf,0.15125950003516384,0.9375310260520275,0.9376611319407249,0.9404645350495802,0.9376611319407249,0.9858897418765056,1.935868619957304e-07,"{'n_estimators': 8, 'max_features': 0.151183059187768, 'max_leaves': 7, 'criterion': 'entropy'}"
66,extra_tree,0.08261239603482888,0.9717913371208435,0.9718050348152115,0.9723431144001029,0.9718050348152115,0.9971765877849337,2.599217980658448e-07,"{'n_estimators': 5, 'max_features': 0.1, 'max_leaves': 182, 'criterion': 'entropy'}"
